Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.51322603,0.4244581162929535,0.4137564301490783,0.4755923748016357,0.411835104227066,0.3118399977684021
chair,Q15026,0.69400275,0.555541455745697,0.5177524089813232,0.5881814360618591,0.4847548604011535,0.510494589805603
fauteuil,Q981009,0.42733645,0.4754714965820312,0.4289522171020508,0.5967944264411926,0.4036230742931366,0.37258943915367126
wing chair,Q1847455,0.35235327,0.3874815702438354,0.3226436674594879,0.3667502701282501,0.3295221030712127,0.2787463665008545
litter,Q476850,0.3561535,0.4540829956531524,0.3927567303180694,0.5221377611160278,0.4345560669898987,0.321846067905426
rocking chair,Q14963,0.36142862,0.4601586163043976,0.3438698649406433,0.5072562098503113,0.3771791756153106,0.2814923822879791
Bergère,Q820539,0.23184773,0.2563882172107696,0.0333934016525745,0.4268752038478851,0.2986427545547485,0.22106999158859253
electric chair,Q185639,0.33079422,0.3200670778751373,0.1082604974508285,0.3647693395614624,0.244893804192543,0.28147488832473755
office chair,Q1021686,0.5122194,0.3979122340679168,0.3733663558959961,0.4426335096359253,0.3855058848857879,0.25492140650749207
high chair,Q1622390,0.34547877,0.4407769739627838,0.3024203479290008,0.5492043495178223,0.363535463809967,0.3351307511329651
folding chair,Q1744391,0.32321024,0.4605948626995086,0.4122343063354492,0.5309567451477051,0.4065143764019012,0.3340524733066559
deckchair,Q1824203,0.37459356,0.4398764073848724,0.3177849054336548,0.5143309831619263,0.3840516209602356,0.3130127191543579
