name,id,result1_name,result1_id,result2_name,result2_id,result3_name,result3_id,result4_name,result4_id,result5_name,result5_id,result6_name,result6_id,result7_name,result7_id,result8_name,result8_id,result9_name,result9_id,result10_name,result10_id
person,Q215627,human,Q5,God,Q190,inhabitant,Q22947,Tetragrammaton,Q105173,Christian,Q106039,netizen,Q167382,Q186004,Q186004,hermit,Q189829,metrosexual,Q192084,fan,Q193432
bicycle,Q11442,Pedersen bicycle,Q444741,recumbent bicycle,Q750483,Prone bicycle,Q811141,Wasserfahrrad,Q1553808,penny-farthing,Q1554036,Q2207542,Q2207542,Q2493979,Q2493979,Q2555353,Q2555353,American Star Bicycle,Q2843028,Graziella,Q3776067
car,Q1420,AS S1 and AS S2,Q163926,back-up car,Q173624,Alta GP,Q173936,Mirage GR8,Q239996,Achilles,Q340277,decrepit car,Q356698,Buick LaCrosse,Q498843,Ferrari 250 GT California Spyder,Q595955,Ford Explorer,Q598084,Alfa Romeo Giulia GT Junior,Q600827
motorcycle,Q34493,diesel motorcycle,Q376498,Triumph X-75 Hurricane,Q651650,Pannonia,Q833742,Q858963,Q858963,motorcycle helmet,Q938683,custom motorcycle,Q1146226,Q1158856,Q1158856,electric motorcycle,Q1327077,Q1337627,Q1337627,touring motorcycle,Q1338206
airplane,Q197,seaplane,Q115940,Dash 7,Q178487,twin-boom aircraft,Q255216,Dassault Falcon 200,Q283266,Clément Ader Avion III,Q356358,flettner airplane,Q392511,ANT-25,Q433095,double-deck aircraft,Q572621,SNCASE SE.161 Languedoc,Q609029,CV-240 family,Q868965
bus,Q5638,Q1374439,Q1374439,FBW 40VH,Q1386747,FBW 50U,Q1386752,Mercedes-Benz O 305 GG,Q1602565,Renault PER180H,Q3425051,Further,Q4154199,Q6026503,Q6026503,Volvo 7000AT,Q9369124,Alizée (bus),Q10405374,Asterope,Q11338804
train,Q870,maglev,Q160047,Mixed train,Q372314,through coach,Q515328,postal train,Q544149,armored train,Q722795,work train,Q811983,Bockerl,Q889184,push–pull train,Q935330,freight train,Q954927,Sebes train,Q1286665
truck,Q43193,Reform Muli,Q1262302,Astra HD6,Q2868476,Fiat 508F,Q3071167,Iveco ACM 90,Q3156289,Thornycroft Antar,Q3230714,Ashok Leyland Stallion,Q4805760,CA141/CA1091,Q5008471,Renault Premium Lander,Q6105460,Q10423390,Q10423390,Mercedes-Benz 1017A,Q11777417
boat,Q35872,Rabelo boat,Q446387,San Diego,Q499961,Björkebåten,Q879501,Dover Bronze Age Boat,Q1252872,Gulet,Q1554272,Vizcaína,Q1680891,Oberst Brecht,Q1741539,Niederösterreich,Q1988787,Queen Astrid,Q2303132,Q2440085,Q2440085
traffic light,Q8004,ramp meter,Q228229,speed sign,Q1518035,Q2281037,Q2281037,Traffic lights in Korea,Q11233345,Q11514378,Q11514378,Q11546756,Q11546756,pedestrian signals,Q12054233,Q14513609,Q14513609,Bodenampel,Q23946127,Q31628909,Q31628909
